Timestamp,If you give your consent to take part please click 'I agree' below.,Please enter your Prolific ID,Which region did you spend most of your time before turning 18?,Select the cultures that you mostly associate yourself with. Choose multiple cultures if your daily life is influenced by more than one culture.,Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Convenient foods in your country (easy to prepare or buy)],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Commonly eaten foods in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Healthy foods in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [House numbers in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [National dish of your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Most common languages spoken in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Major religions practiced in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Currency used in your country],Please rank the 9 questions below from 1 (most common across countries) to 9 (most specific to your country). Use each rank exactly once. [Holidays and festivals celebrated in your country],"According to the instructions, what does Rank 1 mean?",Choose the question from the following list whose answer you think would be the most different across different countries. ,How confident are you in your rankings?,"Did you enjoy the study? Provide your rating on a scale of 1 to 5 stars, where 1 indicates did not enjoy and 5 indicates you loved participating in the study."
9/11/25 11:02,I agree,1,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, Yemen)","Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen)",8,6,9 (Least Common),7,4,5,3,1 (Most Common),2,Most common across countries,Religions – The major religions practiced in your country.,Somewhat confident,3
9/10/25 19:46,I agree,2,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, Yemen)","Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen), French (Canada, France)",2,6,5,3,8,7,1 (Most Common),9 (Least Common),4,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 8:27,I agree,3,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, Yemen)","Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen), Spanish (Argentina, Mexico, Spain)",2,1 (Most Common),3,5,9 (Least Common),4,6,8,7,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,3
9/11/25 8:31,I agree,4,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, Yemen)","Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, United Arab Emirates, Yemen), Spanish (Argentina, Mexico, Spain)",1 (Most Common),2,4,3,6,5,7,8,9 (Least Common),Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,5
9/11/25 8:54,I agree,5,"Arabic (Algeria, Bahrain, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestinian Territory, Qatar, Saudi Arabia, Somalia, Sudan, Syrian Arab Republic, Tunisia, Yemen)","Bantu (Angola, Kenya, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe), English (Australia, Canada, United Kingdom, USA)",4,3,2,1 (Most Common),9 (Least Common),5,6,8,7,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Somewhat confident,4
9/11/25 8:08,I agree,6,Australia,"Chinese, English (Australia, Canada, United Kingdom, USA)",5,4,3,1 (Most Common),8,2,6,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,3
9/11/25 8:18,I agree,7,Australia,"English (Australia, Canada, United Kingdom, USA)",7,5,6,3,9 (Least Common),2,1 (Most Common),8,4,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Not confident,3
9/11/25 12:37,I agree,8,Australia,"English (Australia, Canada, United Kingdom, USA)",3,4,1 (Most Common),2,5,6,7,9 (Least Common),8,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Very confident,5
9/11/25 8:08,I agree,9,Australia,"English (Australia, Canada, United Kingdom, USA), Other",3,1 (Most Common),6,5,7,4,2,9 (Least Common),8,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,5
9/11/25 12:55,I agree,10,Australia,"English (Australia, Canada, United Kingdom, USA), Other",1 (Most Common),6,5,2,9 (Least Common),3,4,8,7,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 8:27,I agree,11,"Bantu (Angola, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)","Bantu (Angola, Kenya, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)",3,4,7,1 (Most Common),9 (Least Common),8,2,6,5,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 8:30,I agree,12,"Bantu (Angola, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)","Bantu (Angola, Kenya, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)",1 (Most Common),2,3,5,7,6,9 (Least Common),4,8,Most common across countries,Healthy foods – Foods that are considered healthy in your country.,Very confident,5
9/11/25 8:37,I agree,13,"Bantu (Angola, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)","Bantu (Angola, Kenya, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)",7,5,8,1 (Most Common),3,2,4,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Very confident,4
9/11/25 8:11,I agree,14,"Bantu (Angola, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)","Bantu (Angola, Kenya, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe), English (Australia, Canada, United Kingdom, USA)",2,5,4,1 (Most Common),6,7,3,9 (Least Common),8,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 8:43,I agree,15,"Bantu (Angola, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe)","Bantu (Angola, Kenya, Malawi, Mozambique, Tanzania, Zambia, Zimbabwe), English (Australia, Canada, United Kingdom, USA)",2,1 (Most Common),4,6,5,8,7,9 (Least Common),3,Most common across countries,Holidays and festivals – The holidays and festivals celebrated in your country.,Somewhat confident,3
9/11/25 13:31,I agree,16,Brazil,"English (Australia, Canada, United Kingdom, USA), Portugese (Brazil, Portugal)",2,4,3,1 (Most Common),7,8,6,9 (Least Common),5,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 8:13,I agree,17,Brazil,"Portugese (Brazil, Portugal)",2,4,3,1 (Most Common),8,7,5,9 (Least Common),6,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,5
9/11/25 8:33,I agree,18,Brazil,"Portugese (Brazil, Portugal)",2,3,4,5,7,1 (Most Common),6,9 (Least Common),8,Most common across countries,Languages – The most widely spoken languages in your country.,Very confident,5
9/11/25 15:13,I agree,19,Brazil,"Portugese (Brazil, Portugal)",1 (Most Common),2,3,4,5,6,7,8,9 (Least Common),Most common across countries,Common foods – Foods that are regularly eaten in your country.,Somewhat confident,1
9/11/25 8:17,I agree,20,Brazil,"Portugese (Brazil, Portugal), Spanish (Argentina, Mexico, Spain)",2,1 (Most Common),3,4,5,6,8,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,4
9/11/25 8:05,I agree,21,China,Chinese,2,1 (Most Common),4,3,6,8,7,9 (Least Common),5,Most common across countries,Languages – The most widely spoken languages in your country.,Very confident,4
9/11/25 8:18,I agree,22,China,Chinese,1 (Most Common),2,3,4,5,9 (Least Common),6,8,7,Most common across countries,Currency – The main currency used in your country.,Somewhat confident,5
9/11/25 8:34,I agree,23,China,Chinese,3,2,5,8,1 (Most Common),6,4,9 (Least Common),7,Most common across countries,Currency – The main currency used in your country.,Very confident,5
9/11/25 8:10,I agree,24,China,Other,1 (Most Common),4,2,5,3,6,7,8,9 (Least Common),Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Very confident,5
9/11/25 9:09,I agree,25,France,"English (Australia, Canada, United Kingdom, USA), French (Canada, France), Portugese (Brazil, Portugal), Spanish (Argentina, Mexico, Spain)",4,3,5,1 (Most Common),6,7,2,9 (Least Common),8,Most common across countries,Currency – The main currency used in your country.,Not confident,1
9/11/25 8:19,I agree,26,France,"English (Australia, Canada, United Kingdom, USA), Other",3,8,6,2,9 (Least Common),7,1 (Most Common),5,4,Most common across countries,Religions – The major religions practiced in your country.,Somewhat confident,4
9/11/25 9:22,I agree,27,France,"French (Canada, France)",6,7,9 (Least Common),8,5,4,3,2,1 (Most Common),Most common across countries,Religions – The major religions practiced in your country.,Somewhat confident,3
9/11/25 9:31,I agree,28,France,"French (Canada, France)",2,5,3,1 (Most Common),9 (Least Common),7,4,6,8,Most common across countries,National dish – The dish most commonly regarded as the national dish of your country.,Very confident,5
9/11/25 9:50,I agree,29,France,"French (Canada, France)",3,4,8,6,2,7,9 (Least Common),1 (Most Common),5,Most common across countries,Religions – The major religions practiced in your country.,Very confident,4
